reviews,titles
볼만합니다. 1편은 제한된 공간에서 진행되는 스토리였다면 이번 편은 미로같은 수중 동굴에서 계속 이동하면서 진행됩니다. 좀 예상되는 전개지만 나름 긴장감도 쏠쏠하고 여름이라는 계절을 감안하면 돈아깝진 않습니다.,47미터 2 (47 meters down: uncaged)
관람객 심장 걸레되는줄 진짜 역대급이에요 1편이랑은 또 다른 느깜이네요!!!!,47미터 2 (47 meters down: uncaged)
하.... 쫄깃쫄깃 심장 너덜너덜... 끝나고 나니까 어깨 근육 뭉쳤다. 내가 물속에 있다 온줄.,47미터 2 (47 meters down: uncaged)
왜봐야하나...돈이 심히 아깝다,48시간: 지구 최후의 날 (Anyone but them)
내가 올려줄게계께꼐기,48시간: 지구 최후의 날 (Anyone but them)
알바들에게 속지 말지어다,48시간: 지구 최후의 날 (Anyone but them)
음 굿이다.굿오뉴뉴ㅠㄴ,48시간: 지구 최후의 날 (Anyone but them)
ㅋ키키ㅋ키키ㅋ재밌다재밌어,48시간: 지구 최후의 날 (Anyone but them)
편견없이 본다면 영원히 기억남을 명작을 보게 될겁니다,48시간: 지구 최후의 날 (Anyone but them)
내가 평점 올려 줄게!!,48시간: 지구 최후의 날 (Anyone but them)
꼭 보세요. 너무 재미있습니다.,48시간: 지구 최후의 날 (Anyone but them)
귀여운 터키 국방부 홍보영화에 아낌 없는 찬사를 보냅니다^^ 나쁘지 않아요~,6솔져스 (To Die For)
터키군 홍보 영상물 .. 엉성한 전투씬....,6솔져스 (To Die For)
코로나땜에 집에서 5500원주고 결제했는데 눈이 썩어버렸다,6솔져스 (To Die For)
요즘들어 터키 전쟁영화 자주뜨는데 하나같이 터키뽕맞은 결말임.. 근데 미국뽕처럼 장엄하지도 않고 그냥 그저그런 수준으로 뽕을 빨려하니 R2B느낌나서 시원찮네,6솔져스 (To Die For)
12솔져스 짝퉁. 전쟁신은 노력하였으나 재미가 없다,6솔져스 (To Die For)
18 ㅡㅡ 러시아 영화보다도 못하네 터키국뽕 ㅡㅡ,6솔져스 (To Die For)
쿠르드족 학살하는 주제에 무슨 놈의 테러리스트 응징... 터키 국방부 홍보 만화영화라고 밖에는 볼 수 없습니다.,6솔져스 (To Die For)
"'배달의 기수'가 무척 잘 만들었다는 것을 확인. 생뚱 맞은 폭발장면, 아마추어스런 전투씬, 무엇보다 오그라들어 블랙홀이 될 것 같은 대사들. 나혼자 봤지만 자막을 읽으며 너무 부끄러웠다. 부끄러운 터...",6솔져스 (To Die For)
터키군 홍보 동영상..,6솔져스 (To Die For)
매우 재미났어요~ 전쟁영화 좋아하시는 분들에겐 평타는 치는 영화에요~ 터키영화는 생소하지만 웰메이드라 볼만했어요~,6솔져스 (To Die For)
주인공인 기자의 카메라를 통해 내용이 진행됩니다. 벙커에서의 내용이 주된 소재이기에 전쟁 액션씬을 기대하고 보시면 안될 것 같습니다. 그리고 예상치 못한 전개에 개인적으로는 조금 충격적이었습니다ㅎ,7 솔져스 (Cigarette Soup)
,7 솔져스 (Cigarette Soup)
모야 진심 몬 영화인지 시간 아까워,7 솔져스 (Cigarette Soup)
"본 사람만 평점 달 수 있으면 좋겠네요. 남자를 조롱한 것도 아니고 여성의 삶에 대해 나타낸 영화인데, 왜 성별에 대한 비하와 악플을 다는지 모르겠네요~","82년생 김지영 (KIM JI-YOUNG, BORN 1982)"
"아버지의 삶 고통 이런 소재도 많은데 어머니,여자로서 힘들다는 내용이 뭐가 문제가 되는지 모르겠어요ㅠㅠ 영화나 책을 본 사람들이면 내용이 전혀 남녀 갈등을 조장하는 내용이 아니란걸 알텐데요! 아직 영화는 보지 못했지...","82년생 김지영 (KIM JI-YOUNG, BORN 1982)"
책이든 영화든 본 사람이면 불편할 요소가 없다는걸 알텐데 안 본 사람들이 이렇다 저렇다 논하는게 우습다ㅋㅋ,"82년생 김지영 (KIM JI-YOUNG, BORN 1982)"
"책을 읽지도 않았고, 영화를 보지도 않은 사람들이 손만 바쁘게 움직이면 뭐하니 ㅎ 여기에서 이래봤자 책은 베스트셀러고 영화는 예매율 1위다.","82년생 김지영 (KIM JI-YOUNG, BORN 1982)"
누가보면 이 영화가 남성대상 범죄영화인줄알겠음ㅋㅋ정유미가 희대의 싸이코패스 살인마고 남자만 다 찔러죽이는 그런 영화^^ㅋㅋㅋ 여기에 별 이상한 소리하면서 댓글다는 놈들중에 책 읽은 사람 없을듯..^^ 여자들이 목소리...,"82년생 김지영 (KIM JI-YOUNG, BORN 1982)"
이런 영화를 만들어주셔서 감사합니다.그리고 모든 김지영에게 감사하고 사랑합니다.꼭 보세요 주변에 있는 여자 남자 모두에게 당당하게 홍보하세요.,"82년생 김지영 (KIM JI-YOUNG, BORN 1982)"
보지도 않은 인간들이 별점 테러하러 올 만큼 대단한 영화입니다 꼭 보세요 ^^,"82년생 김지영 (KIM JI-YOUNG, BORN 1982)"
생각할 거리가 많은 영화.세상의 많은 김지영들이 공감할 수 있는 영화.,"82년생 김지영 (KIM JI-YOUNG, BORN 1982)"
세대 상관없이 누구나 공감할 수 있는 이야기 김지영은 누군가의 아내 엄마가 아닌 82년생 김지영으로 살아갔으면,"82년생 김지영 (KIM JI-YOUNG, BORN 1982)"
"돈 안드는짓만 제일 잘하네요 ..,^^","82년생 김지영 (KIM JI-YOUNG, BORN 1982)"
